Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     60/1    0.020    0.000  121.042  121.042 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:206(run)
    12840    0.020    0.000    0.079    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:193(isscalarlike)
     3914    0.020    0.000    6.898    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:598(_rmul_dispatch)
     2008    0.020    0.000    0.020    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
    13026    0.019    0.000    0.024    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:239(getnnz)
    23172    0.019    0.000    0.019    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:105(__init__)
     1414    0.018    0.000    0.278    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:330(tocsc)
    51524    0.018    0.000    0.018    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:672(max)
    24816    0.018    0.000    0.029    0.000 {built-in method builtins.any}
    19878    0.018    0.000    0.026    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.018    0.018    0.575    0.575 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/systemgraph.py:387(generate_reverse)
    67966    0.017    0.000    0.017    0.000 {built-in method _operator.index}
     5862    0.017    0.000    0.017    0.000 {built-in method scipy.sparse._sparsetools.csc_tocsr}
     5815    0.016    0.000    0.244    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:148(_validate_indices)
     1875    0.016    0.000    0.209    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:126(__init__)
    20902    0.015    0.000    0.018    0.000 {built-in method builtins.getattr}
17330/11630    0.015    0.000    0.022    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:361(_first_element_bool)
    29678    0.015    0.000    0.015    0.000 {built-in method builtins.max}
     4374    0.015    0.000    6.516    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:507(_mul_dispatch)
    23247    0.015    0.000    0.015    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
    15267    0.014    0.000    0.026    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3121(ndim)
    31105    0.014    0.000    0.014    0.000 {built-in method builtins.iter}
    16688    0.014    0.000    0.014    0.000 {method 'astype' of 'numpy.ndarray' objects}
    11630    0.014    0.000    0.038    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:376(_compatible_boolean_index)
    23172    0.013    0.000    0.032    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_data.py:20(__init__)
      266    0.013    0.000    0.269    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/cross.py:150(compute_cross_jac)
        1    0.013    0.013    0.013    0.013 {built-in method builtins.compile}
    13541    0.013    0.000    0.013    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     5738    0.012    0.000    0.793    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:46(__getitem__)
    96213    0.012    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:498(can_cast)
     5700    0.012    0.000    0.012    0.000 {built-in method scipy.sparse._sparsetools.csr_row_index}
    58/39    0.012    0.000  120.629    3.093 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:341(compute_totals)
    73872    0.011    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:295(<genexpr>)
    13794    0.011    0.000    0.012    0.000 {built-in method builtins.hasattr}
    48990    0.011    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csc.py:230(_swap)
     5700    0.011    0.000    0.074    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:172(_asindices)
     5415    0.011    0.000    0.011    0.000 {built-in method scipy.sparse._sparsetools.coo_matvec}
    12895    0.010    0.000    0.010    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    33772    0.010    0.000    0.017    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:1291(isspmatrix)
    12836    0.010    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
    10101    0.009    0.000    0.040    0.000 <__array_function__ internals>:177(copyto)
    15267    0.009    0.000    0.046    0.000 <__array_function__ internals>:177(ndim)
      421    0.009    0.000    0.067    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:365(multiply)
     1874    0.009    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:73(_coo_container)
    19878    0.009    0.000    0.009    0.000 {method 'rpartition' of 'str' objects}
    11636    0.008    0.000    0.042    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     5700    0.008    0.000    0.534    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csc.py:219(_get_sliceXarray)
       77    0.008    0.000    0.037    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:958(_insert_many)
     3914    0.008    0.000    6.942    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:622(__rmatmul__)
    30724    0.008    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_data.py:23(_get_dtype)
     5700    0.008    0.000    0.043    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:631(flatnonzero)
       76    0.008    0.000    0.030    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:581(_mul_multivector)
     9606    0.007    0.000    0.077    0.000 {method 'max' of 'numpy.ndarray' objects}
     8102    0.007    0.000    0.014    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:20(upcast)
     4401    0.007    0.000    0.034    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:149(ones)
     1606    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2008    0.007    0.000    0.048    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1081(__get_has_canonical_format)
     4573    0.007    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/algorithms/traversal/breadth_first_search.py:15(generic_bfs_edges)
