Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12874    0.005    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:250(isdense)
    12840    0.023    0.000    0.053    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1873(isscalar)
    12840    0.020    0.000    0.079    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:193(isscalarlike)
    12836    0.010    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
    12836    0.006    0.000    0.015    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
    12592    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    11636    0.008    0.000    0.042    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
    11630    0.014    0.000    0.038    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:376(_compatible_boolean_index)
    11426    0.005    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1397(<listcomp>)
    11426    0.026    0.000    0.038    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1347(normalize_axis_tuple)
    10388    0.039    0.000    0.054    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:83(_csr_container)
    10101    0.009    0.000    0.040    0.000 <__array_function__ internals>:177(copyto)
    10101    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:1071(copyto)
     9606    0.005    0.000    0.070    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/_methods.py:38(_amax)
     9606    0.003    0.000    0.025    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/_methods.py:42(_amin)
     9606    0.007    0.000    0.077    0.000 {method 'max' of 'numpy.ndarray' objects}
     9606    0.006    0.000    0.031    0.000 {method 'min' of 'numpy.ndarray' objects}
     8829    0.003    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:861(predecessors)
     8176    0.041    0.000    0.041    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     8103    0.004    0.000    0.004    0.000 {built-in method builtins.hash}
     8102    0.007    0.000    0.014    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:20(upcast)
     8100    0.005    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1143(__set_sorted)
     8073    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     7749    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
     5862    0.017    0.000    0.017    0.000 {built-in method scipy.sparse._sparsetools.csc_tocsr}
     5862    0.045    0.000    0.512    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csc.py:132(tocsr)
     5849    0.390    0.000    0.390    0.000 {built-in method scipy.sparse._sparsetools.csr_todense}
     5815    0.016    0.000    0.244    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:148(_validate_indices)
     5815    0.028    0.000    0.085    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:267(_unpack_index)
     5815    0.007    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:313(_check_ellipsis)
     5811    0.021    0.000    0.918    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1048(toarray)
     5811    0.006    0.000    0.017    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:1277(_process_toarray_args)
     5780    0.005    0.000    0.046    0.000 <__array_function__ internals>:177(cumsum)
     5780    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2493(_cumsum_dispatcher)
     5780    0.005    0.000    0.036    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2497(cumsum)
     5780    0.024    0.000    0.024    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     5778    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1751(_ravel_dispatcher)
     5778    0.005    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1755(ravel)
     5778    0.003    0.000    0.017    0.000 <__array_function__ internals>:177(ravel)
     5738    0.012    0.000    0.793    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:46(__getitem__)
     5713    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
     5713    0.004    0.000    0.004    0.000 {built-in method builtins.sorted}
     5713    0.005    0.000    0.089    0.000 <__array_function__ internals>:177(moveaxis)
     5713    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1406(_moveaxis_dispatcher)
     5713    0.003    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1472(<listcomp>)
     5713    0.025    0.000    0.077    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1410(moveaxis)
     5701    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1862(_nonzero_dispatcher)
     5701    0.003    0.000    0.013    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1866(nonzero)
     5701    0.003    0.000    0.019    0.000 <__array_function__ internals>:177(nonzero)
     5701    0.005    0.000    0.005    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     5700    0.055    0.000    0.055    0.000 {method 'solve' of 'SuperLU' objects}
     5700    0.004    0.000    0.051    0.000 <__array_function__ internals>:177(flatnonzero)
     5700    0.007    0.000    0.027    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:289(full)
     5700    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:627(_flatnonzero_dispatcher)
     5700    0.008    0.000    0.043    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:631(flatnonzero)
     5700    0.012    0.000    0.012    0.000 {built-in method scipy.sparse._sparsetools.csr_row_index}
     5700    0.094    0.000    0.522    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:688(_major_index_fancy)
     5700    0.004    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:782(_minor_slice)
     5700    0.011    0.000    0.074    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:172(_asindices)
     5700    0.008    0.000    0.534    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csc.py:219(_get_sliceXarray)
     5440    0.004    0.000    0.150    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/einsumfunc.py:1009(einsum)
     5440    0.005    0.000    0.174    0.000 <__array_function__ internals>:177(einsum)
     5440    0.146    0.000    0.146    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
     5415    0.011    0.000    0.011    0.000 {built-in method scipy.sparse._sparsetools.coo_matvec}
     4596    0.003    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:28(write)
     4573    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
     4573    0.007    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/algorithms/traversal/breadth_first_search.py:15(generic_bfs_edges)
     4573    0.001    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/algorithms/traversal/breadth_first_search.py:90(bfs_edges)
     4558    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
     4502    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:829(successors)
